Constant	samiti	sphiti	Wrist (Swine)	Draw
Cylinder	rahasya	rasam	Hair (Stretch)	Median
Random	shawk	jashn	Cord (Joint)	Jump
Torque	maslaah	nishaan	Hand (Grip)	Beside
Circle	patang	antim	Throat (Glide)	Acute
Band	manthar	antar	Eye (Focal)	Next
Line	phasal	pal	Elbow (Back)	Close
Angle	vaham	bahan	Ear (Warm)	Block
Dot	makaam	jhankaar	Nose (Sharp)	Juggle
Half	prahaar	kasar	Forehead (Clean)	Height
Spring	ishaaraa	sahaaraa	Finger (Smash)	Stunt
Target	aahaar	kartavy	Knee (Stress)	Wait

Maintain	gate	arrange	Body (Cell)	Derive
Tone	entry	point	Appliance (Device)	Post
Speak	address	format	Mine (Search)	Log
Treat	distance	unique	Food (Grow)	Tie
Decibel	root	trend	Wood (Stock)	Publish
Strike	quote	lot	Calendar (Cross)	Notice
Gesture	order	name	Water (Level)	Describe
Rehearse	confirm	fact	Print (Erase)	Toss
Impression	word	practice	Place (Start)	Project
Balance	extend	sure	Plan (Cover)	Tweet
Paste	purpose	number	Forest (Daily)	Feed
Judge	delegate	convoy	Function (Once)	Migrate	

Very	swipe	instruct	Over (All)	Cube
Raw	scale	vibrate	Community (Their)	Internal
Single	tight	shake	Security (Bite)	Transform
Drop	take	rotate	Hide (Out)	Permanent
Piece	again	frequent	Group (Total)	Combine
Cap	coil	enough	Regular (Enter)	Control
Live	rate	drama	Of (Work)	Similar
Free	hold	often	Valid (Reason)	Exist
Fat	shift	forth	Active (Document)	Contrast
Poll	yet	excess	Absolute (Position)	Frame
Top	ratio	subtle	Continue (System)	Original
Who	wide	guess	Pure (Action)	Deliver

Rule	configure	shot	Multiple (Colon)	Genius
Book	hit	smile	Equate (Cycle)	Glow
Copy	capture	speed	Behind (Context)	Clear
Pencil	script	try	Other (Moment)	Energy
Eraser	tag	put	Turn (Auto)	Real
Paper	part	flow	Check (Gap)	Thrust
Bundle	stand	touch	Appendix (Lane)	Shape
Ink	style	scratch	Proportion (Code)	Power
Pot	tap	align	Direct (Lock)	Liquid
Colour	filter	pull	Repeat (Command)	Wave
Tube	knob	throw	Difference (Channel)	Art
Canvas	role	sort	Stream (Response)	Sense

Alert	race	gear	Come (Soon)	Mortgage
Law	one	box	Meet (Assure)	Least
Focus	neat	bench	Common (Select)	Carry
Dust	grid	beam	Intense (Answer)	Layer
Hint	hook	pipe	Fit (Complete)	Equal
Variance	long	shelf	So (Call)	Switch
Hike	fly	plug	Destine (Term)	Signature
Symbol	weight	plate	Hollow (Say)	Letter
Wealth	read	cup	Unit (Render)	Port
Capsule	expand	ring	Necessary (Pick)	Idea
Sheet	type	table	Certain (Routine)	Develop
Pocket	hundred	tape	Support (Cause)	Gift

Aim	branch	trace	Must (Think)	Wizard
Front	teach	street	Quest (Variable)	Install
Scene	centre	light	Rest (Matrix)	Fraction
Sit	journey	more	Empty (Swap)	Wonder
Corner	storage	ground	Seal (Contact)	Parallel
Whole	sentence	base	Pace (Information)	Induct
Area	respect	below	Receipt (Row)	Theme
Wall	matter	route	Cake (Slide)	Value
Rack	electric	token	Fund (Stack)	Motor
Tub	regard	way	Rear (Chain)	Cartoon
Board	space	measure	Count (Border)	Update
Lap	hope	only	Prepare (Straight)	Explain

Static	square	list	Item (Range)	Now
Backward	this	run	Collection (Proof)	Time
Forward	why	show	Package (Verify)	While
Upward	what	score	Design (Any)	Mobile
Downward	with	issue	Extension (Via)	Scroll
Previous	as	spark	Boundary (Limit)	Hertz
Summery	for	reply	Member (Rail)	Radio
Herewith	is	deal	Fold (Break)	Load
Therefore	the	case	Net (Field)	Distribute
Liberate	where	fill	Diverse (Adjust)	Option
Account	that	hash	Uniform (Set)	Schedule
Dynamic	rectangle	tile	New (Surf)	Many

Strategy	cute	choice	Task (Concurrent)	Yield
Available	happy	convert	Relate (Tolerance)	Off
Collaborate	fashion	identity	Quick (Calculate)	Freight
Conduct	fresh	amongst	Destiny (Blend)	Establish
Estimate	joy	correct	Indicate (Charge)	Justify
Compare	bold	between	Deep (Bring)	Affirm
Construct	lift	agent	Problem (Propose)	Gather
Perception	same	plant	Connect (Form)	Query
Amplify	comic	attract	Junction (Grade)	Spread
Inception	dream	traverse	Prism (Stable)	Chunk
Determine	grasp	result	Dictate (Thing)	Change
Question	sole	attach	Navigate (Recursion)	Smart

Inspire	prior	curtain	Roll (Complex)	Glycerine
Exercise	native	door	True (Concert)	Menthol
Protocol	till	cabinet	Litre (Annotate)	Soda
Remedy	aware	generate	Fire (Distort)	Nitric
Manipulate	assault	home	Cheap (Black)	Smoke
Mystery	float	bracket	Register (Cellular)	Para
Party	down	pip	Recent (Different)	Incense
Theory	figure	trail	Tear (Kick)	Extract
Vocabulary	sound	racket	Instead (Solution)	Wax
Dictionary	multiplex	dimension	Silk (Aperture)	Cutlery
Delivery	basic	bounce	School (Example)	Foul
Identify	language	appropriate	Strip (Return)	Price

Analytic	volume	couple	Frequency (Sphere)	Interest
Play	hall	side	Reverse (Track)	Trade
Zone	key	profile	Fine (Chart)	Page
Sponsor	finish	label	Percentage (Tally)	Fun
Feature	chamber	unite	Confidence (Panel)	Custom
Stick	extra	edge	Around (Main)	Learn
Hub	content	trim	Description (Blank)	Past
Monitor	property	drag	Explore (Button)	Bucket
Protect	icon	clip	Amount (Process)	Logic
Video	dock	manage	Record (Plus)	Size
Alone	bar	menu	Compatible (Object)	Help
Memory	length	cool	Know (History)	Leave
